ministry,state_department
Executive Office of the President,Executive Office of the President
Ministry of Co-operatives and MSME Development,State Department for Micro Small and Medium Enterprises (MSME) Development
Ministry of Defence,Defence
Ministry of East African Community (EAC) the ASALs and Regional Development,State Department for East African Community (EAC)
Ministry of East African Community (EAC) the ASALs and Regional Development,State Department for the ASALs and Regional Development
Ministry of Education,State Department for Technical Vocational Education and Training (TVET)
"Ministry of Information, Communications and Digital Economy",State Department for Broadcasting and Telecommunications
"Ministry of Information, Communications and Digital Economy",State Department for ICT and Digital Economy
Ministry of Mining Blue Economy and Maritime Affairs,State Department for the Blue Economy and Fisheries
Ministry of Roads and Transport,State Department for Aviation
Ministry of Tourism Wildlife and Heritage,State Department for Culture and Heritage
Ministry of Youth Affairs Sports and the Arts,State Department for Sports and the Arts
National Treasury,National Treasury
National Treasury,State Department for Economic Planning
Office of the Prime Cabinet Secretary & Ministry of Foreign & Diaspora Affairs,State Department for Diaspora Affairs
Office of the Prime Cabinet Secretary & Ministry of Foreign & Diaspora Affairs,State Department for Foreign Affairs
Office of the Prime Cabinet Secretary & Ministry of Foreign & Diaspora Affairs,State Department for National Government Coordination
The State Law Office,The State Law Office
