agency_ministry,agency_state_department,canonical_ministry,canonical_state_department,mapping_confidence,notes
Executive Office of the President,Executive Office of the President,Public Service & Human Capital Development,Special Programmes,low,"No EOP/presidency ministry in the 23-ministry structure; placed under PS & HCD special programmes as a coordination placeholder—review manually."
Ministry of Co-operatives and MSME Development,State Department for Micro Small and Medium Enterprises (MSME) Development,Cooperatives & MSME Development,MSMEs Development,high,"Legacy name aligns with canonical MSMEs state department."
Ministry of Defence,Defence,Defence,Defence,high,"Direct match."
Ministry of East African Community (EAC) the ASALs and Regional Development,State Department for East African Community (EAC),"East African Community (EAC), ASALs & Regional Dev.",East African Community,high,""
Ministry of East African Community (EAC) the ASALs and Regional Development,State Department for the ASALs and Regional Development,"East African Community (EAC), ASALs & Regional Dev.",ASALs & Regional Development,high,""
Ministry of Education,State Department for Technical Vocational Education and Training (TVET),Education,TVET,high,""
"Ministry of Information, Communications and Digital Economy",State Department for Broadcasting and Telecommunications,"Information, Communications & The Digital Economy",Broadcasting & Telecommunications,high,""
"Ministry of Information, Communications and Digital Economy",State Department for ICT and Digital Economy,"Information, Communications & The Digital Economy",ICT & Digital Economy,high,""
Ministry of Interior and National Administration,State Department for Internal Security and National Administration,Interior & National Administration,Internal Security & National Administration,high,""
"Ministry of Lands, Public Works, Housing and Urban Development",State Department for Housing and Urban Development,"Lands, Public Works, Housing & Urban Development",Housing & Urban Development,high,""
"Ministry of Lands, Public Works, Housing and Urban Development",State Department for Public Works,"Lands, Public Works, Housing & Urban Development",Public Works,high,""
Ministry of Mining Blue Economy and Maritime Affairs,State Department for the Blue Economy and Fisheries,"Mining, Blue Economy & Maritime Affairs",Blue Economy & Maritime Affairs,high,""
Ministry of Roads and Transport,State Department for Aviation,Roads & Transport,Aviation & Aerospace Development,high,""
Ministry of Roads and Transport,State Department for Roads,Roads & Transport,Roads,high,""
Ministry of Roads and Transport,State Department for Transport,Roads & Transport,Transport,high,""
Ministry of Tourism Wildlife and Heritage,State Department for Culture and Heritage,"Tourism, Wildlife & Heritage",Culture & Heritage,medium,"Legacy ministry name shortened; culture maps to Culture & Heritage under Tourism/Wildlife/Heritage."
"Ministry of Youth Affairs Sports and the Arts",State Department for Sports and the Arts,"Youth Affairs, Creative Economy & Sports",Sports,medium,"Arts not a separate canonical state department; mapped to Sports—review if user should use Youth Affairs & Creative Economy instead."
National Treasury,National Treasury,National Treasury & Economic Planning,The National Treasury,high,""
National Treasury,State Department for Economic Planning,National Treasury & Economic Planning,Economic Planning,high,""
Office of the Prime Cabinet Secretary & Ministry of Foreign & Diaspora Affairs,State Department for Diaspora Affairs,Foreign & Diaspora Affairs,Diaspora Affairs,high,""
Office of the Prime Cabinet Secretary & Ministry of Foreign & Diaspora Affairs,State Department for Foreign Affairs,Foreign & Diaspora Affairs,Foreign Affairs,high,""
Office of the Prime Cabinet Secretary & Ministry of Foreign & Diaspora Affairs,State Department for National Government Coordination,Public Service & Human Capital Development,Special Programmes,low,"NPCS coordination has no direct state dept; heuristic same as EOP—review."
The State Law Office,The State Law Office,Office of the Attorney General,"Justice, Human Rights & Constitutional Affairs",high,"State Law Office aligns with OAG structure in current list."
